,text
468,This album turns loneliness into solitude. Love it.
469,Some damn good late night study music. Almost makes me happy to be here grafting into the late hours.
470,"This record is an embodiment of a beautiful life. The happy bits, the sad bits, the deep bits - this music sings the song of the soul."
471,"In my bed , tripping, here,  at São Paulo City and I can say ,this is a jewel album. Love it"
472,de nuevo estoy en ese punto de youtube en que cada recomendación me gusta
473,"Hello random person(? Listening from Argentina.
I, personally, as a fan and student of music, love how every component of this album is perfectly ordered, time and notes, armony and melody, It's just perfect.
Always support art!"
474,"i'm alone in my room, just chilling listening this album and it's a masterpiece"
475,"Is this the new old gorillaz? 

I love it! <3"
476,10:23
477,Mortal!
478,i wish i could be in a band that plays music like this... just imagine playing these note on a guitar and giving these dope vibes... !!
479,If hotline miami was all chill
480,"trumpets, xylophones, fading guitars, violins... this is arrangement is great.
i wanted to do stuff, but those beautiful sound landscapes are pulling me in.
deep distant sunset underwater feelings... totally fell in love with your music.
one can hear that this is made with much love, so many details, such lovely accents..."
481,Magnifique
482,"Hearing and appreciating this songs while i'm cleaning my house. This is taking me in spiritual levels that I can't explain. Plus i'm using incense and crystals hahaha, it's a massive combo"
483,❤
484,"Share here your ""How i meet skinshape"" story."
485,FANTASTIC
486,wow
487,Safe to say my recommendations hit it out out of the park today.
488,supermarket of sample
489,Anyone else get chill Pink Floyd vibes from these guys?
490,Ver nice (@_@)
491,Who in 2034?
492,what the fuck have I been doing with my life? I'm so fucking late to the party!!
493,"düşüncenin nerede bittiği önemsiz ama hayatın nerede (zaman anlamında) bittiği önemli, hadi bit artık lan"
494,"That's such a good album again, well done to Skinshape"
495,Thank you so much!
496,I'm in LOVE
497,they had me at 0:01
498,great music to burn one down to
499,"So jazzy, so chill, so smooooth 👌"
500,This is fucking awesome!
501,keep coming back & listening to this album. great stuff.
502,"""I didnt know"" reminds me of time spent with an old friend as we overlooked downtown Austin in the rain."
503,I GOT HERE BY HOMESHAKE
504,"Tuned in on this album while trying to get some work done... not possible. Can't stop my mind from simply drifting away into the music, so full of thoughts. I'm lovin it!"
505,this is ok
506,Sensational and Brilliant
507,very good album
508,"WOW just went through the complet album, amazingly good while studying. I knew the two first songs since like 1 month but I always stoped before the 3th started.It was worth a shot. Thanks for those good vibration :)"
509,reminds me of porcupine tree
510,"Needless to say, even the comments accentuate the absolute chillness that is happening up above."
511,Thoroughly enjoyed the album...
512,I can relax to this guy.   thanks HC
513,"this is not spectacular music, neither bad one, it just feels really really good
too simple and too soft, im discovering something new in the conception of music
its like ""middle music"" 
btw u must pass by some sort of deep loneliness to really taste this"
514,Reminds me the pink floyd`s album obscured by clouds. Amazing!
515,I PAINT AND DRAW TO SKINSHAPE! LOVE THEM CHECK OUT @thedarknesslives AND LEAVE ME A COMMENT
516,I'm 23
517,"When people say “Music these days suck, people don’t know how to make music anymore,  etc. etc.” I wish I could show them this side of YouTube.  Ohhh my friend you’re not looking in the right places . It’s out there right under your noses 🌞"
518,22:45 reminds me of Interstellar
519,dosnt the first song have basically the same cord progression as house of the rising sun
520,I'm enjoying this with Bacon & Eggs
521,I’m really laying here thinking about life... wish this had more view.. the world needs this kind of music
522,"pls fix the timestamps in the description
Lengths doesnt make any sense"
523,this is fucking magical
524,I love this !!!
525,son lo mejoooor!!!!!!<3
526,This is sooo good.
527,thats is really good :)
528,this is good for me
529,the correct shadow
530,I inhale and exhale the vibe of this album
531,"who plays the violin? seems like a flip of the guitar. Countering the simplicity of the guitar with emotive, progressive, melodies."
532,0:05 seconds in and i love this already.
533,"The vocals on ""Metanoia"" reminded me a bit of Dan Auerbach (not in a bad way, though). A very nice album, thumbs up!"
534,2019
535,the drums are fucking dope on this!!
536,Eu sou pika moro?
537,Ya empezo bien. Tiene q ser un muy buen album
538,<3
539,increible
540,this is pure pleasure.
541,found this today... thanks! wow!
542,Beautiful. What a great time listening this.
543,"Smooth stylish and trippy 
Loving this"
544,"kind of ~magic~ I need now.. d reason it found me.. ) thank you, ) *
<3"
545,"You must have lived I mean truly lived this album. It has life in it. 
Since the second I heard it I could not leave it for a second. Its kinda like when you fall in love.
I'm in love with this album. Truly obsessed in the most compelling way possible <3"
546,yeh but ads
547,nice sound
548,Oh... hello fellow peoples with good taste in music!
549,S e n s a c i o n a l sensacional...
550,what a treausure !
551,Life as one: anyone got Foals vibe?
552,nice and sweet
553,진짜 개쩐다.
554,wow this is everything im looking for
555,"I’m wondering if they’ve ever heard Time by Arthur Brown 1968, first song is almost spot on the melody"
556,"What if, I put on a Microsoft vr headset in the year 1995 and I am still wearing it today?"
557,I feel like Christophe Colomb
558,Really great!
559,"este album se convirtió en uno de mis favvv, una gran maravilla para mis días <3"
560,We need this soothe
561,Discovered this yesterday and I didn't know how much I needed this in my life
562,Such beautiful music! Their ambient musical harmonies to 'I didn't know' brought me to this discovery.
563,sooo smooth .. lost in a dreamlike state
564,สวยงาม
565,NICE GUYS for ever
566,Got high listening to this.
567,I want to be this guy's guitar
568,you dudes have such a killer taste in music thanks for sharing
569,Perfecta para soñar
570,ngentot dah nih orang kane bett bikin lagu
571,"Always makes me miss the future experiences I may have one day (: another gem to show the parents of my grandchildren some time from now! 






<3 Diodes"
572,Why doesn’t this fucking track list make any sense to me
573,Alguien tiene información de el autor o creador de esta música? o es anónimo?
574,Esse som é incrível!
575,The guitar melody almost reminds me of Cold War Kids 🤔
576,"This album is unreal good.  Holy effing sweetness, my word man!!!"
577,"first song intro sounds like the intro of ""Feeling good"" from Nina Simone"
578,"I wonder how many more times people are going to be ""inspired"" by glory box....stale"
579,im diggin it. thanks for the uploadddddd :)
580,Some genius shit
581,"music that hits. amazing album, fucking enjoyed every second of it."
582,🙏🙏🙌yessssss!!!!
583,"^^
Percepciones aglomeradas... 
¡Excelente sonidos, extraordinario trabajo!"
584,"After 8 years of virtual friendship, I finally met my pal Mauricio in Buenos Aires. I went with him to change a shirt he had bought, and the guy in that store was listening to this jewel. I couldn't help asking what it was. That's the story about I happened to know Skinshape. ❤"
585,megusta
586,omfg sitting here on a bench in the wild smoking my lil friend between the fingers. Dude I love being alone and typing this kind of messages under the spell of magic of this kind of unique sounds man. A solid 10/10 from me my dudes! keep it up please.
587,Sometimes correct as  Shadow and Squarepusher
588,Vanilla elixier 💛
589,wow awsome ....never heard about this guy before....just heard it on the radio as a brand new album and I liked it. definetly have to check out this dude
590,genial
591,Is anybody listening in 2020? ❤
592,"0:00 After Midnight
4:38 I Didn't Know
8:15 Metanoia 
12:13 Shimmer
16:58 Breathe
19:52 Life As One
24:13 We Lose
28:37 Filoxiny"
593,damn this is good.
594,I love when niceguys post stuff that I never heard that I really like. Thanks for this one dude!
595,this is goosebump music!
596,"how's this not known, idk! D: great job!"
597,two people were hurt by someone who jammed to this album
598,"Why Shimmer does not have vocals? OMG what an amazing tune. I don't like only instrumental songs, I wish it had SOME kind of lyrics. :(
I love this artist so much btw. Every single track"
599,Damn <3
600,"Found out skinshape 5 am after some drinking vibes dinner, home and it keeps me from going to bed. Music is addictive, but it is the best adiction ever ;)"
601,I believe the tracklist in the description is fkd up?
602,Excellent
